link,player,season,age,tm,lg,pos,g,gs,FirstSeasonMP,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,SeasonNumber_1,SeasonNumberAdj,CumSumSeasonAdj,SeasonNumber,mp,games,games_started,NumberOfSeasons,status,LastSeason,DraftYear,PickNumber,Team,College,wprev,w_lpercentprev,wcur,w_lpercentcur
/players/d/delkto01.html,Tony Delk,1996-97,23,CHA,NBA,PG,61,1,14.2,2,4.2,0.465,0.9,1.8,0.464,1.1,2.4,0.465,0.566,0.7,0.8,0.824,0.5,1.1,1.6,1.6,0.6,0.1,1.1,1.2,5.4,1,0,0,1,11702.9,545,103,10,2,2005-06,1996,16,CHH,Kentucky,41.4,0.505,46,0.5612
/players/d/dickada01.html,Dan Dickau,2002-03,24,ATL,NBA,PG,50,0,10.3,1.4,3.4,0.412,0.4,1.2,0.361,1,2.2,0.44,0.476,0.4,0.5,0.808,0.2,0.7,0.9,1.7,0.3,0,1.1,1.3,3.7,1,0,0,1,4619.8,300,57,6,2,2007-08,2002,28,SAC,Gonzaga,33,0.455,30,0.4184
/players/d/dickemi01.html,Michael Dickerson,1998-99,23,HOU,NBA,SG,50,50,31.2,4.3,9.2,0.465,1.4,3.3,0.433,2.9,6,0.483,0.542,0.9,1.4,0.639,0.5,1.1,1.7,1.9,0.5,0.2,1.3,1.8,10.9,1,0,0,1,7488.6,212,206,5,2,2002-03,1998,14,HOU,Arizona,50.2,0.612,44.2,0.5898
/players/d/diopde01.html,DeSagana Diop,2001-02,20,CLE,NBA,C,18,1,6.1,0.7,1.6,0.414,0,0,NA,0.7,1.6,0.414,0.414,0.1,0.3,0.2,0.3,0.7,0.9,0.3,0.1,0.6,0.7,1.1,1.4,1,0,0,1,8399.3,601,93,12,2,2012-13,2001,8,CLE,,34.6,0.4618,32,0.4302
/players/d/dixonju01.html,Juan Dixon,2002-03,24,WAS,NBA,PG,42,3,15.4,2.5,6.5,0.384,0.6,2,0.298,1.9,4.5,0.422,0.43,0.9,1.1,0.804,0.3,1.4,1.7,1,0.6,0.1,1,1.3,6.4,1,0,0,1,8509.9,436,77,7,2,2008-09,2002,17,WAS,Maryland,28.8,0.3806,27.8,0.3684
/players/d/doleami01.html,Michael Doleac,1998-99,21,ORL,NBA,C,49,0,15.9,2.6,5.4,0.468,0,0,NA,2.6,5.4,0.468,0.468,1.1,1.6,0.675,1.3,1.7,3,0.4,0.4,0.3,0.5,2.4,6.2,1,0,0,1,8798.5,587,84,10,2,2007-08,1998,12,ORL,Utah,50.6,0.6172,47,0.6258
/players/d/doolike01.html,Keyon Dooling,2000-01,20,LAC,NBA,PG,76,1,16.3,1.9,4.8,0.409,0.4,1.1,0.35,1.6,3.7,0.426,0.448,1.6,2.4,0.698,0.1,1.1,1.2,2.3,0.5,0.1,1.2,1.4,5.9,1,0,0,1,14127.7,728,86,13,2,2012-13,2000,10,ORL,Missouri,21.2,0.2748,21.6,0.2796
/players/d/drewbr01.html,Bryce Drew,1998-99,24,HOU,NBA,PG,34,0,13,1.4,3.8,0.364,0.5,1.4,0.327,0.9,2.4,0.388,0.426,0.2,0.2,1,0.1,0.9,0.9,1.5,0.4,0.1,0.9,1.8,3.5,1,0,0,1,3975.6,243,46,6,2,2003-04,1998,16,HOU,Valparaiso,50.2,0.612,44.2,0.5898
/players/d/drobnpr01.html,Predrag Drobnjak,2001-02,26,OKC,NBA,C,64,12,18.3,3,6.5,0.461,0,0,0,3,6.4,0.464,0.461,0.9,1.1,0.753,1.2,2.3,3.4,0.8,0.3,0.5,0.8,1.7,6.8,1,0,0,1,5541.4,278,96,4,2,2004-05,1997,48,WAS,,46,0.6028,43.6,0.5736
/players/d/dudlech02.html,Chris Dudley,1987-88,22,CLE,NBA,C,55,1,9.3,1.2,2.5,0.474,0,0,NA,1.2,2.5,0.474,0.474,0.7,1.3,0.563,1.3,1.3,2.6,0.4,0.2,0.3,0.6,1.6,3.1,1,0,0,1,16328.7,886,331,16,2,2002-03,1987,75,CLE,Yale,26.2,0.3194,31.6,0.3852
